i,bplus_s,brute_s
454,6.221998773980886e-06,8.615999831818044e-06
455,3.2059997465694323e-06,8.085999070317484e-06
456,3.927998477593064e-06,8.545999662601389e-06
457,4.147999788983725e-06,8.856999556883238e-06
458,3.225999535061419e-06,7.955000910442322e-06
459,2.984999809996225e-06,8.736000381759368e-06
460,5.990999852656387e-06,8.715998774277978e-06
461,4.27799932367634e-06,8.626999260741286e-06
462,8.466000508633442e-06,8.585999239585362e-06
463,3.0350001907208934e-06,8.666000212542713e-06
464,4.077000994584523e-06,8.617000275989994e-06
465,2.7650003175949678e-06,8.766999599174596e-06
466,2.8459999157348648e-06,8.86699854163453e-06
467,2.8750000637955964e-06,9.057001079781912e-06
468,3.6669989640358835e-06,8.736000381759368e-06
469,2.824999683070928e-06,8.756000170251355e-06
470,2.9550010367529467e-06,8.777000402915291e-06
471,2.7549995138542727e-06,8.795999747235328e-06
472,2.9650000215042382e-06,9.047000276041217e-06
473,2.97499900625553e-06,8.847000572131947e-06
474,4.397999873617664e-06,8.94699951459188e-06
475,4.088000423507765e-06,8.986999091575854e-06
476,4.5480010157916695e-06,8.957000318332575e-06
477,3.065999408136122e-06,8.996999895316549e-06
478,2.845001290552318e-06,8.897000952856615e-06
479,2.8060003387508914e-06,9.408000551047735e-06
480,4.118001015740447e-06,9.106999641517177e-06
481,4.088000423507765e-06,9.208000847138464e-06
482,2.7459991542855278e-06,9.097000656765886e-06
483,3.957999069825746e-06,9.057001079781912e-06
484,2.9559996619354934e-06,9.267998393625021e-06
485,4.487999831326306e-06,9.177998435916379e-06
486,3.1260005926014856e-06,1.1161000657011755e-05
487,6.121999831520952e-06,1.090099976863712e-05
488,8.054999852902256e-06,9.227000191458501e-06
489,9.406998287886381e-06,9.186998795485124e-06
490,4.2980009311577305e-06,8.896000508684665e-06
491,4.248000550433062e-06,9.257000783691183e-06
492,3.1159997888607904e-06,9.457999112783e-06
493,4.5289998524822295e-06,9.21700120670721e-06
